Precio,G. Bruta,G. Neta
190,-23.6,-23.649
191,-23.6,-23.649
192,-23.6,-23.649
193,-23.6,-23.649
194,-23.6,-23.649
195,-23.6,-23.649
196,-23.6,-23.649
197,-23.6,-23.649
198,-23.6,-23.649
199,-23.6,-23.649
200,-23.6,-23.649
201,-23.6,-23.649
202,-23.6,-23.649
203,-23.6,-23.649
204,-23.6,-23.649
205,-23.6,-23.649
206,-23.6,-23.649
207,-23.6,-23.649
208,-23.6,-23.649
209,-23.6,-23.649
210,-23.6,-23.649
211,-23.6,-23.649
212,-23.6,-23.649
213,-23.6,-23.649
214,-23.6,-23.649
215,-23.6,-23.649
216,-23.6,-23.649
217,-23.6,-23.649
218,-23.6,-23.649
219,-23.6,-23.649
220,-23.6,-23.649
221,-22.6,-22.682
222,-21.6,-21.682
223,-20.6,-20.682
224,-19.6,-19.683
225,-18.6,-18.683
226,-17.6,-17.683
227,-16.6,-16.683
228,-15.6,-15.683
229,-14.6,-14.683
230,-13.6,-13.684
231,-12.6,-12.684
232,-11.6,-11.684
233,-10.6,-10.684
234,-9.6,-9.684
235,-8.6,-8.684
236,-7.6,-7.684
237,-6.6,-6.685
238,-5.6,-5.685
239,-4.6,-4.685
240,-3.6,-3.685
241,-2.6,-2.685
242,-1.6,-1.685
243,-0.6,-0.685
244,0.4,4.106
245,1.4,14.586
246,2.4,25.066
247,3.4,35.546
248,4.4,46.026
249,5.4,56.506
250,6.4,66.986
